"Global_Index", "x_coord", "y_coord", "Pressure", "C<sub>p</sub>", "Mach"
70, 1.780100673453660e-01, -8.829079183929735e-02, 1.013218536244156e+05, -5.136819251039997e-02, 2.996337813193071e-02
71, 1.656327313214449e-01, -8.662820568093539e-02, 1.013230300779313e+05, -3.216123865178119e-02, 2.966529679579097e-02
72, 1.535985840827140e-01, -8.480973292987060e-02, 1.013244342491056e+05, -9.236532663406717e-03, 2.932928554667602e-02
73, 1.419299988158206e-01, -8.283829667497054e-02, 1.013259660784003e+05, 1.577233865397328e-02, 2.894453558509501e-02
74, 1.306393392119162e-01, -8.071617263648970e-02, 1.013276824776981e+05, 4.379452710197231e-02, 2.851104643282022e-02
75, 1.197288717494781e-01, -7.844502394471926e-02, 1.013295607752974e+05, 7.445989113252771e-02, 2.801654305320439e-02
76, 1.092118626620159e-01, -7.602531846963909e-02, 1.013317297401479e+05, 1.098707316382847e-01, 2.745849256199953e-02
77, 9.912116182241448e-02, -7.346588931803857e-02, 1.013340195989080e+05, 1.472553039681450e-01, 2.682646438537085e-02
78, 8.944999052291425e-02, -7.076605896789362e-02, 1.013366396575690e+05, 1.900307686491959e-01, 2.611385326708461e-02
79, 8.022209052912627e-02, -6.793210743847014e-02, 1.013394900834650e+05, 2.365672428364166e-01, 2.530616843518926e-02
80, 7.145088398095455e-02, -6.497078583414997e-02, 1.013426024694053e+05, 2.873805153964903e-01, 2.439106739019251e-02
81, 6.314113096201372e-02, -6.188356986488758e-02, 1.013460851190437e+05, 3.442387677804915e-01, 2.335383244973176e-02
82, 5.531711307381962e-02, -5.868133240143927e-02, 1.013497900135208e+05, 4.047254222274643e-01, 2.217766239721330e-02
83, 4.798326365378482e-02, -5.537016006269691e-02, 1.013538004740606e+05, 4.702007933464421e-01, 2.084639275526619e-02
84, 4.115547786849920e-02, -5.195810224203574e-02, 1.013581356154567e+05, 5.409769520788311e-01, 1.933783598979540e-02
85, 3.484849330489891e-02, -4.845803079182841e-02, 1.013626442006561e+05, 6.145847799632523e-01, 1.762522932581358e-02
86, 2.906746040992887e-02, -4.487991642961429e-02, 1.013674112198689e+05, 6.924118397200666e-01, 1.567536620484892e-02
87, 2.382724645588402e-02, -4.124007608053899e-02, 1.013721018227804e+05, 7.689913156564545e-01, 1.346567872390428e-02
88, 1.913982401248587e-02, -3.756109436900816e-02, 1.013766634107876e+05, 8.434644752077427e-01, 1.097232225151065e-02
89, 1.499875274021237e-02, -3.385344242527761e-02, 1.013809204188961e+05, 9.129650183477962e-01, 8.160820138535507e-03
90, 1.142575285246732e-02, -3.016387708105255e-02, 1.013839675953537e+05, 9.627136712631393e-01, 5.044686887121961e-03
91, 8.394042764143605e-03, -2.650416552446334e-02, 1.013860558920317e+05, 9.968075112703100e-01, 1.632061114083138e-03
92, 5.901865338545070e-03, -2.292096332148649e-02, 1.013860358630849e+05, 9.964805157255471e-01, 2.045413930407289e-03
93, 3.918179960165285e-03, -1.944548299749917e-02, 1.013836862888222e+05, 9.581210192801830e-01, 5.882851473741755e-03
94, 2.400573818168974e-03, -1.610216202584900e-02, 1.013791672794024e+05, 8.843430040351050e-01, 9.830844945591170e-03
95, 1.299804662899853e-03, -1.290054848430612e-02, 1.013715478160104e+05, 7.599465193024939e-01, 1.371553072601008e-02
96, 5.654266449704206e-04, -9.851399425760856e-03, 1.013631409509752e+05, 6.226947990431816e-01, 1.749725642883389e-02
97, 1.422901563772529e-04, -6.900819302748363e-03, 1.013496860921718e+05, 4.030287869342559e-01, 2.098044055593757e-02
